"id","zeeid","zipcode","type"
"505","1071","47018","POL"
"506","1071","47023","POL"
"507","1071","47031","POL"
"508","1071","47037","POL"
"509","1071","47041","POL"
"510","1071","47042","POL"
"511","1071","47201","POL"
"512","1071","47202","POL"
"513","1071","47203","POL"
"514","1071","47232","POL"
"515","1071","47236","POL"
"516","1071","47244","POL"
"517","1071","47246","POL"
"518","1071","47273","POL"
"519","1071","47283","POL"
"520","1071","47102","POL"
"521","1071","47138","POL"
"522","1071","47223","POL"
"523","1071","47224","POL"
"524","1071","47227","POL"
"525","1071","47229","POL"
"526","1071","47230","POL"
"527","1071","47231","POL"
"528","1071","47243","POL"
"529","1071","47250","POL"
"530","1071","47265","POL"
"531","1071","47270","POL"
"532","1071","47274","POL"
"533","1071","47282","POL"
"534","1073","20041","POL"
"535","1073","20101","POL"
"536","1073","20102","POL"
"537","1073","20103","POL"
"538","1073","20104","POL"
"539","1073","20105","POL"
"540","1073","20146","POL"
"541","1073","20152","POL"
"542","1073","20163","POL"
"543","1073","20164","POL"
"544","1073","20165","POL"
"545","1073","20166","POL"
"546","1073","20167","POL"
"547","1073","20175","POL"
"548","1073","20177","POL"
"549","1073","20189","POL"
"550","1073","20147","POL"
"551","1073","20148","POL"
"552","1073","20149","POL"
"553","1074","68028","POL"
"554","1074","68046","POL"
"555","1074","68127","POL"
"556","1074","68128","POL"
"557","1074","68135","POL"
"558","1074","68136","POL"
"559","1074","68137","POL"
"560","1074","68138","POL"
"561","1074","68139","POL"
"562","1074","68145","POL"
"563","1074","68010","POL"
"564","1074","68114","POL"
"565","1074","68118","POL"
"566","1074","68124","POL"
"567","1074","68130","POL"
"568","1074","68144","POL"
"569","1074","68154","POL"
"570","1075","19711","POL"
"571","1075","19712","POL"
"572","1075","19714","POL"
"573","1075","19715","POL"
"574","1075","19716","POL"
"575","1075","19717","POL"
"576","1075","19718","POL"
"577","1075","19725","POL"
"578","1075","21920","POL"
"579","1075","21921","POL"
"580","1075","21922","POL"
"581","1075","19701","POL"
"582","1075","19702","POL"
"583","1075","19708","POL"
"584","1075","19713","POL"
"585","1075","19720","POL"
"586","1075","19721","POL"
"587","1075","19726","POL"
"588","1075","19850","POL"
"589","1075","19880","POL"
"590","1075","19885","POL"
"591","1075","19886","POL"
"592","1075","19891","POL"
"593","1075","19892","POL"
"594","1075","19893","POL"
"595","1075","19895","POL"
"596","1076","68007","POL"
"597","1076","68022","POL"
"598","1076","68064","POL"
"599","1076","68069","POL"
"600","1076","68101","POL"
"601","1076","68102","POL"
"602","1076","68103","POL"
"603","1076","68105","POL"
"604","1076","68106","POL"
"605","1076","68108","POL"
"606","1076","68109","POL"
"607","1076","68117","POL"
"608","1076","68122","POL"
"609","1076","68131","POL"
"610","1076","68132","POL"
"611","1076","68142","POL"
"612","1076","68152","POL"
"613","1076","68157","POL"
"614","1076","68172","POL"
"615","1076","68175","POL"
"616","1076","68176","POL"
"617","1076","68178","POL"
"618","1076","68180","POL"
"619","1076","68182","POL"
"620","1076","68197","POL"
"621","1076","68198","POL"
"622","1076","68104","POL"
"623","1076","68116","POL"
"624","1076","68134","POL"
"625","1076","68164","POL"
"626","1077","98011","POL"
"627","1077","98041","POL"
"628","1077","98125","POL"
"629","1077","98133","POL"
"630","1077","98155","POL"
"631","1077","98160","POL"
"632","1077","98165","POL"
"633","1077","98175","POL"
"634","1077","98021","POL"
"635","1077","98028","POL"
"636","1077","98036","POL"
"637","1077","98043","POL"
"638","1077","98046","POL"
"639","1081","51526","POL"
"640","1081","51534","POL"
"641","1081","51548","POL"
"642","1081","51561","POL"
"643","1081","51571","POL"
"644","1081","51575","POL"
"645","1081","51576","POL"
"646","1081","68048","POL"
"647","1081","68107","POL"
"648","1081","68110","POL"
"649","1081","68111","POL"
"650","1081","68112","POL"
"651","1081","68113","POL"
"652","1081","68119","POL"
"653","1081","68123","POL"
"654","1081","68133","POL"
"655","1081","68147","POL"
"656","1081","51501","POL"
"657","1081","51502","POL"
"658","1081","51503","POL"
"659","1081","51510","POL"
"660","1081","68005","POL"
"661","1083","21037","POL"
"662","1083","21106","POL"
"663","1083","21401","POL"
"664","1083","21403","POL"
"665","1083","21404","POL"
"666","1083","21405","POL"
"667","1083","21411","POL"
"668","1083","21412","POL"
"669","1083","21601","POL"
"670","1083","21612","POL"
"671","1083","21617","POL"
"672","1083","21620","POL"
"673","1083","21624","POL"
"674","1083","21625","POL"
"675","1083","21647","POL"
"676","1083","21652","POL"
"677","1083","21657","POL"
